Start Date,End Date,Response ID,Are you a current SAA member?,How frequently would you estimate you have consulted the SAA Principles of Ethics in the past?,How have you used the SAA Principles of Ethics? Please check all that apply. - Selected Choice,How have you used the SAA Principles of Ethics? Please check all that apply. - Other - Text,"Have you consulted any other codes of ethics? If so, please specify which organization's and how you have used them.",Please feel free to elaborate on your answer here:,What do you see as being the primary ethical concerns in the field today?,"Principle 1: Stewardship

The archaeological record, that is, in situ archaeological material and sites, archaeological collections, records and reports, is irreplaceable. It is the responsibility of all archaeologists to work for the long-term conservation and protection of the archaeological record by practicing and promoting stewardship of the archaeological record. Stewards are both caretakers of and advocates for the archaeological record for the benefit of all people; as they investigate and interpret the record, they should use the specialized knowledge they gain to promote public understanding and support for its long-term preservation. 
 

I feel that this principle and its description adequately applies to archaeological practice and its ethical challenges today.",Please elaborate here:,"Principle 2: Accountability

Responsible archaeological research, including all levels of professional activity, requires an acknowledgment of public accountability and a commitment to make every reasonable effort, in good faith, to consult actively with affected group(s), with the goal of establishing a working relationship that can be beneficial to all parties involved. 
 

I feel that this principle and its description adequately applies to archaeological practice and its ethical challenges today.",Please elaborate here:,"Principle 3: Commercialization

The Society for American Archaeology has long recognized that the buying and selling of objects out of archaeological context is contributing to the destruction of the archaeological record on the American continents and around the world. The commercialization of archaeological objects - their use as commodities to be exploited for personal enjoyment or profit - results in the destruction of archaeological sites and of contextual information that is essential to understanding the archaeological record. Archaeologists should therefore carefully weigh the benefits to scholarship of a project against the costs of potentially enhancing the commercial value of archaeological objects. Whenever possible they should discourage, and should themselves avoid, activities that enhance the commercial value of archaeological objects, especially objects that are not curated in public institutions, or readily available for scientific study, public interpretation, and display.
 

I feel that this principle and its description adequately applies to archaeological practice and its ethical challenges today.",Please elaborate here:,"Principle 4: Public Education and Outreach

Archaeologists should reach out to, and participate in cooperative efforts with others interested in the archaeological record with the aim of improving the preservation, protection, and interpretation of the record. In particular, archaeologists should undertake to: 1) enlist public support for the stewardship of the archaeological record; 2) explain and promote the use of archaeological methods and techniques in understanding human behavior and culture; and 3) communicate archaeological interpretations of the past. Many publics exist for archaeology including students and teachers; Native Americans and other ethnic, religious, and cultural groups who find in the archaeological record important aspects of their cultural heritage; lawmakers and government officials; reporters, journalists, and others involved in the media; and the general public. Archaeologists who are unable to undertake public education and outreach directly should encourage and support the efforts of others in these activities. 
 

I feel that this principle and its description adequately applies to archaeological practice and its ethical challenges today.",Please elaborate here:,"Principle 5: Intellectual Property

Intellectual property, as contained in the knowledge and documents created through the study of archaeological resources, is part of the archaeological record. As such it should be treated in accord with the principles of stewardship rather than as a matter of personal possession. If there is a compelling reason, and no legal restrictions or strong countervailing interests, a researcher may have primary access to original materials and documents for a limited and reasonable time, after which these materials and documents must be made available to others. 
 

I feel that this principle and its description adequately applies to archaeological practice and its ethical challenges today.",Please elaborate here:,"Principle 6: Public Reporting and Publication

Within a reasonable time, the knowledge archaeologists gain from investigation of the archaeological record must be presented in accessible form (through publication or other means) to as wide a range of interested publics as possible. The documents and materials on which publication and other forms of public reporting are based should be deposited in a suitable place for permanent safekeeping. An interest in preserving and protecting in situ archaeological sites must be taken in to account when publishing and distributing information about their nature and location. 
 

I feel that this principle and its description adequately applies to archaeological practice and its ethical challenges today.",Please elaborate here:,"Principle 7: Records and Preservation

Archaeologists should work actively for the preservation of, and long term access to, archaeological collections, records, and reports. To this end, they should encourage colleagues, students, and others to make responsible use of collections, records, and reports in their research as one means of preserving the in situ archaeological record, and of increasing the care and attention given to that portion of the archaeological record which has been removed and incorporated into archaeological collections, records, and reports. 
 

I feel that this principle and its description adequately applies to archaeological practice and its ethical challenges today.",Please elaborate here:,"Principle 8: Training and Resources

Given the destructive nature of most archaeological investigations, archaeologists must ensure that they have adequate training, experience, facilities, and other support necessary to conduct any program of research they initiate in a manner consistent with the foregoing principles and contemporary standards of professional practice. 
 

I feel that this principle and its description adequately applies to archaeological practice and its ethical challenges today.",Please elaborate here:,"Principle 9: Safe Educational and Workplace Environments

Archaeologists in all work, educational, and other professional settings, including fieldwork and conferences, are responsible for training the next generation of archaeologists. Part of these responsibilities involves fostering a supportive and safe environment for students and trainees. This includes knowing the laws and policies of their home nation and institutional workplace that pertain to harassment and assault based upon sex, gender identity, sexual orientation, ethnicity, disability, national origin, religion, or marital status. SAA members will abide by these laws and ensure that the work and educational settings in which they have responsible roles as supervisors are conducted so as to avoid violations of these laws and act to maintain safe and respectful work and learning environments. 
 

I feel that this principle and its description adequately applies to archaeological practice and its ethical challenges today.",Please elaborate here:,"As a whole, the SAA Principles of Ethics satisfactorily addresses the ethical situations archaeologists find themselves in today.",Please elaborate here:,"The SAA Principles of Ethics adequately addresses ethical concerns in the country in which I work, am a student, or teach.",Please elaborate here:,The SAA Principles of Ethics adequately addresses ethical concerns in sector in which I work.,Please elaborate here:,Are there additional ethical issues that should be addressed by the Principles?,Please elaborate here:,What should be the purpose of the SAA's ethical document?   Please drag and drop to rank the options below. - Establish best practices for the profession,What should be the purpose of the SAA's ethical document?   Please drag and drop to rank the options below. - Establish and enforce best practices for the profession,What should be the purpose of the SAA's ethical document?   Please drag and drop to rank the options below. - Establish expectations for the behavior of professionals,What should be the purpose of the SAA's ethical document?   Please drag and drop to rank the options below. - Demonstrate integrity of profession,What should be the purpose of the SAA's ethical document?   Please drag and drop to rank the options below. - For use in education and training,"What type of ethical document(s) do you feel would best serve the SAA membership? Please check all that apply.

	Aspirational Code: An aspirational code focuses on a set of shared values and ideals that encourage ethical behavior for members of the society or organization. The current SAA Principles of Archaeological Ethics are an aspirational code.
	Living Document: A living document is a set of ethical statements that can be continually updated (e.g. a blog) and provide a platform to actively respond to ethical situations and challenges. A living document usually accompanies a set statement on ethics. An example of a living document is the AAA Ethics Forum.

 If necessary:


	Separate Principles of Ethics and Standards of Practice or Performance: Two statements that address 1) ethical principles and 2) best practices for archaeology as separate documents.
	An ethical document that provides examples: An ethical statement or code that uses practical examples to illustrate its components.",Feel free to comment on these formats or suggest additional formats here:,Are you a member of the RPA?,,,,,,,,,,,,,
4/18/20 12:08,4/18/20 12:37,R_2aboxOd1G8edqFD,No. I'm a former member.,Occasionally ,"To address an ethical problem,To refresh or gain personal knowledge of ethics,For teaching or training purposes",,Yes,,Being silent while the Government no longer requires cultural resources inventories prior to ground disturbing activity. By our silence we become complicit.,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,Disagree,"This principle states we should not have our own standards, but should obey the law of the local jurisdiction. Rather than just obey local custom, we should set our own standards.",Neutral,,Neutral,,Neutral,,Yes,,4,1,5,2,3,"Separate Principles of Ethics and Standards of Practice,Ethical document(s) that provides examples",,No,,,,,,,,,,,,,
4/13/20 11:56,4/13/20 12:11,R_3iXsdpMhLIwUlPl,Yes,Occasionally ,To refresh or gain personal knowledge of ethics,,Yes,"AAA
NYTIMES",Working with the communities we study,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,No,,,,,,,,A student oriented summary that is easily distributed would be helpful,No,,,,,,,,,,,,,
6/1/20 15:35,6/1/20 15:47,R_3rFXElMB72SCWk1,No. I'm a former member.,Once or twice,"To refresh or gain personal knowledge of ethics,For teaching or training purposes",,Yes,AAPA,Allowing known sexual predators to still remain in the SAA and attend events (thus terrorizing their victims). ,Agree,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,I agree but it is not easy for scholars to get their results published. This is especially true for studies with null results. Maybe we need other avenues of making this information available (other than journals).,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Agree,,No opinion/Not sure,,4,3,1,2,5,"A living document,Separate Principles of Ethics and Standards of Practice,Ethical document(s) that provides examples",,No,,,,,,,,,,,,,
6/1/20 12:35,6/1/20 13:34,R_3J8FYBxTHmgFx23,Yes,Several times a year,"To address an ethical problem,To refresh or gain personal knowledge of ethics,To write a report, article, or publication,For teaching or training purposes,Referred to it while renewing my SAA membership,In working with the public or non-archaeologists,As a student in an archaeological class or field school,Other",To compare and critique them to WAC and AAA. ,Yes,"WAC, AAA, other anthropological and non-anthropological (i.e. SEAC, SfAA, PAC, ASA): teaching, publications, professional advice across several avenues",Living people - both archaeologists and community members (broadly defined to include both (esp.) descendant communities and broader publics),Agree,"Yes, but not to the detriment of living descendant communities.",Disagree,"This considers accountability broadly - but does not take into account: 1) conflicting publics, 2) recognizing different power dynamics at multiple levels between archaeologist(s) and publics, or 3) what equity means in terms of ""beneficial"" to different parties.",Neutral,,Disagree,"I mean sure, but this is so unwieldy that it gets lost. Everything about people is essentially crammed into this Principle. Education and Outreach are separate and conflation of the two undermines and confuses both.",Neutral,,Disagree,"There needs to be an expansion about digital (though still protected) access, esp. given current limitations on travel. It highlights the need for accessibility and what accessibility means on multiple levels - such as by descendant or other stakeholder community members who may not be able to travel to access materials. ",Disagree,"Again, records and preservation are not the same thing. Maintaining and getting access to records, esp. for collections as we move to increased digital preservation and changes in de-accessioning protocols for objects, is a different matter than physical artifacts.",Disagree,"Apologies to the Committee for my redundancy - all of the compound principles need to separated. Adequate - which really should be appropriate something stronger than adequate frankly - training, etc. is not the same as necessary resources for the short-term and long-term care for materials, records, and relationships. These are different things. As archaeologists, we work in minutia. These need to expanded.",Disagree,"Unfortunately, as Title IX guidance has changed in ways that now seem to no longer follow students or faculty into field settings (according to one Title IX investigator I spoke with) this Principle needs to be re-evaluated more substantially, esp. in light of the recent changes to bylaws as a result of SAA 2019. 

Also, let's note that even with Principle SAA 2019 still happened the way it did, not only with Yesner, but continued racial discrimination - also- why is race missing from this list? In the US, race functions very specifically in ways that are different from ethnicity, I never noticed that before. Also, veteran status is protected class, so perhaps an etc. should be added - both for US-based and international reasons. ",Strongly Disagree,"Simply put, they are outdated, incomplete, and do not center people. We look at people's objects. Without people - both of the past and in the present to look at  it - archaeology doesn't exist. We need people in ethics and people, overall, are missing from these Principles.",Strongly Disagree,,Strongly Disagree,,Yes,"Living communities; Indigenous intellectual and cultural property rights; digital aspects of care, curation, and access; make them enforceable instead of aspirational, i.e. by working more closely with RPA. I mean, let's be honest, that's really the problem - that they are aspirational, so all we can do is hope that archaeologists take a virtue approach to ethics and see these Principles as ways they can support betterment of humanity by being decent human beings. People who don't follow these principles are still seated at the highest levels of archaeology across sector.",3,1,2,5,4,"An aspirational code,A living document,Separate Principles of Ethics and Standards of Practice,Ethical document(s) that provides examples","There needs to be something that is enforceable. Encouragement to be ethical has not worked. In fact, overwhelmingly, it has failed. There need to be consequences and accountability for ethical behavior. If we cannot hold our members accountable than what does SAA membership mean besides a exclusive environment for those with the race, class, gender, nationality, ability, etc. privilege to be able to pay for it. ",Yes,,,,,,,,,,,,,
4/30/20 13:19,4/30/20 13:26,R_1NlgDtq5AkCLrxe,Yes,Once or twice,"I have not used the Principles,As a student in an archaeological class or field school",,Yes,,"How the SAA's handled the Yesnir case during the Albuquerque meetings. The SAA administration demonstrated that ethics were not of importance as they attempted to put the onus of the issue on a University instead of taking the time to address it. I think that the person handling social media at the time as well - I believe Oona - was blocking people on twitter and that violates our right to critique the SAA's as an institution. Rather than going about it in an ethical way, it showed the lack of support for women and Indigenous archaeologists that make up a majority of those in the field.  ",Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Neutral,,Neutral,,Agree,,Yes,Sexual Assualt ,1,4,2,3,5,"A living document,Separate Principles of Ethics and Standards of Practice",,Yes,,,,,,,,,,,,,
5/15/20 9:49,5/15/20 10:36,R_SYIuajyrGkcJauJ,Yes,Once or twice,"To write a report, article, or publication,For teaching or training purposes",,No,,"An unordered list - 1. Data sovereignty on new or ongoing archaeological projects; 2. Sovereignty and cultural patrimony of existing collections and datasets; 3. Sexual and gender-based harrassment and violence; 4. Openness, transparency, and reproducibility of research results.",Disagree,"I think we need to have a serious conversation as a society, as some are already doing, about whether archaeologists should be stewards of ""the record"" or stewards of relationships between stakeholder communities and institutions that claim privileged ownership of archaeological materials and data. As currently written, this principle risks losing sight of stakeholders and fetishizing materials. I was particularly reminded of the perils of this perspective a couple of years ago during a debate online about what to do about confederate monuments. One archaeologist, a Classicist, suggested that we had an ethical obligation to make sure that those monuments be preserved in a museum, even if they were taken down. Other anthropological archaeologists in the conversation suggested that we had an almost HIppocratic obligation to avoid doing harm -- and that the statues should be destroyed if they were doing harm. What was lacking in the conversation was a more applied discussion of alternatives to complete preservation and annihilation, involving digital documentation and curation. ",Agree,,Agree,,Disagree,"I feel that we should hard-wire our commitment to collaboration, but that we also need to have some language in here about how unmitigated ""public outreach"" is not in and of itself the goal. Public archaeology shouldn't be ""public relations archaeology,"" and if you are working with sensitive materials that collaborators don't want broadcasted across the universe, then you need to work closely together to determine a communication plan. ",Strongly Disagree,"This principle falls short on two fronts. One, there are some kinds of information that collaborators and stakeholders may request that we never make public, based on their rights to privacy or cultural patrimony. Two, for the less sensitive information that constitutes the majority of data that archaeologists produced, ""limited and reasonable"" is ambiguous enough that it allows bad actors to hold on to data virtually in perpetuity. So there need to be more clear implications here -- guidelines about what kinds of datasets and workflows to make publically available and how to do it. And I think that we should require the primary datasets AND processing workflows referred to in all SAA journals to be made public, UNLESS the authors can clearly cite some ethical concern about their publication. We should also look into preregistering hypotheses before studies begin as a way to increase transparency in research design.",Disagree,"See answers to previous questions -- not all information ""wants to be free."" Some needs to be protected -- and not just when it puts archaeological sites at risk of destruction, which this principle seems to suggest is the main concern. Consultation with collaborators and close stakeholders must be a central part of any dissemination or publication plan.",Disagree,"See answer to previous question -- we should see archaeologists as stewards of relationships, not ""the record."" Our obligations should be to each other, our collaborators, and various stakeholders, not to ""stuff.""",Agree,,Agree,,Disagree,,Disagree,,Disagree,,Yes,"Additional language and/or principles should be added for museum professionals. For field archaeologists, standards of digital documentation and publication should be established. ",5,1,2,4,3,"An aspirational code,Separate Principles of Ethics and Standards of Practice,Ethical document(s) that provides examples,Ethical document(s) that more fully addresses concerns in my sector/region of work","The code needs some teeth. When people sit on their data and/or violate ethical standards, there should be consequences. A living document might be maintained in parallel, but having a strong code or set of principles that establish standards and consequences is key.",No,,,,,,,,,,,,,
4/13/20 16:39,4/13/20 16:55,R_2DYrZs2os2D1G5N,Yes,Several times a year,For teaching or training purposes,,Yes,"AAPA's code, especially regarding sexual harassment and violence.","Safety from harassment and violence of women and all gender-nonconforming people.
Relations between archaeologists and Native peoples.
Strengthening protections against looting and illicit sales of Native artifacts and remains. ",Disagree,"I believe that, in the U.S. and general North American case, this Principle leaves Native people and their stewardship preferences (Including not excavating) silent.",Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,"As the curator of poorly documented and haphazardly curated collections, I wish we could put teeth into this.",Strongly Agree,,Strongly Agree,,Agree,,Neutral,,Disagree,"The lack of more proactive language for engagement with Native communities and other communities whom archaeologists' research affects is a major area for revision. Principles 1, 2 especially need rewriting.",Agree,,No opinion/Not sure,,2,4,1,5,3,"An aspirational code,Ethical document(s) that provides examples",,Yes,,,,,,,,,,,,,
5/15/20 11:48,5/15/20 12:02,R_1NsjzkBzDUqDfNL,No. I'm a former member.,Once or twice,"To refresh or gain personal knowledge of ethics,For teaching or training purposes",,Yes,"Psycology, biology","sexism, abusive behavior by field directors, plagiarism",Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,"Yes, but defining the reasonable amount of time is tough.  Academic and other constraints on the time that scholars have to actually do and write their research are under huge assault, so undoubtedly many of us have unfinished projects and datasets that we would lose access to if the time was short.  We cannot control the things in life that make it difficult to get our favorite work done quickly.  ",Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,"does not address the issue of attendance at meetings by knows sexual harassers, or by reporters that want to inflame the truth by putting lies on the internet.  Both sides here are in the wrong, and need to be addressed.",Agree,,Yes,"does not address the issue of attendance at meetings by knows sexual harassers, or by reporters that want to inflame the truth by putting lies on the internet.  Both sides here are in the wrong, and need to be addressed.  The fact that some individuals bring such complaints to a reporter is a symptom of problems within the discipline.  But the public embarrassment route is not a good one.  we need other mechanisms. SAA could provide a body to adjudicate such claims outside of the university environment that would be helpful. Universities are not getting this right.",1,2,5,4,3,"I am satisfied with the format of the current Principles,A living document,Ethical document(s) that provides examples",,No,,,,,,,,,,,,,
4/22/20 11:05,4/22/20 11:30,R_DAZPY7XzLBjxhyF,Yes,About once a year,"To write a report, article, or publication,For teaching or training purposes,In working with the public or non-archaeologists",,Yes,"SHA, AIA, AAA","Indigenous and descendent community relations, especially insofar as archaeology continues to participate in legacies of colonial violence in many places. NAGPRA compliance should be the number one concern of our field and professional organization, it should be absolutely unacceptable to have institutions, firms, and individuals drag their feet on NAGPRA.

Harassment of all kinds is endemic to archaeology and there must be zero tolerance for it in any archaeological venue or arena.

Improving relations with the public

Domination of professional archaeology sectors by a small handful of people connected to the same networks (i.e. SRI / SRIF / CfAS / LEAP / ARCUS). There's a real ethical need to broaden out who we listen to and support within professional archaeology.

Ensuring safe working conditions and fair labor practices for all working archaeologists, including a living wage for all full-time archaeologists (in all areas, i.e. academic, govt, private sector, etc.)",Agree,,Strongly Agree,,Neutral,"I think we often have failed to adequately address broader ethical issues in the field by overly focusing on the policing of archaeological objects. I do not necessarily think that archaeologists should police people's relationships to artifacts and sites, though agree we should 1) not contribute to their commodification and 2) need to do more to educate people about the nature and value of archaeological knowledge gained from in situ artifacts.",Agree,"Similar to my previous answer, I am extremely wary of any ethical principles that assert archaeologists' ""expertise"" as somehow more valuable or superior to the expertise of descendent communities and laypeople engaged in archaeological preservation and work at many different levels. Public outreach is important, but our positioning must become one more of lateral relationship-building rather than top-down explanations emanating from ""expert"" archaeologists to ""inexpert"" publics. ",Agree,,Agree,,Strongly Agree,,Agree,,Disagree,"This does not go far enough, and seems to especially target students and trainees when almost EVERYONE in this field is vulnerable to harassment. It puts the onus on ""following laws"" rather than archaeologists being responsible for actively creating and promoting safe workplaces. This should list out the aspects of safe workplaces that archaeologists everywhere commit to rather than relying on ""local laws"" to fill in for our professional ethics.",Disagree,,Disagree,,Strongly Disagree,,Yes,"Colonial legacies (relationships with Indigenous and other communities)
Harassment, assault, bullying
Labor conditions and issues
",2,1,3,5,4,Separate Principles of Ethics and Standards of Practice,,No,,,,,,,,,,,,,
4/14/20 16:03,4/14/20 17:42,R_3EbrXFdaNH0iYJO,Yes,Once or twice,In working with the public or non-archaeologists,,Yes,"The United Nations Universal Declaration of Human Rights
The Textile Society of America mission statement and Diversity Statement (I was involved in formulating the latter)","I see gender-based and sexual harassment as vital concerns, within the broader context of often abusive power relationships in academia, the workplace and the insular experience of fieldwork.

As job opportunities have become more scarce and also of lower quality (impermanent, part-time, low-paid, highly demanding), issues caused by systematic abuse of power by supervisors have deepened, and willingness to defend oneself or others has been eroded.

While I perceive the involvement of archaeologists in owning or even trafficking antiquities to have greatly lessened, I perceive that traffickers and collectors are becoming bolder recently and are challenging the authority of archaeologists, within a broader framework of fomenting disrespect for science and professional standards. We need to strategize about dealing with this.

Legal protections for heritage sites are being challenged, eroded and undone, and SAA has responded appropriately to work against these attacks. This situation requires further education and skill-building, both within and beyond our discipline.",Agree,"I would only add that the principles of stewardship should be integral to our teaching and training of those who will carry on our work, and imparted to others who maintain an interest in archaeological discoveries.",Neutral,"I think this statement should be modified to recognize the agency of others. We are accountable not only to ""affected groups"" but to those concerned with heritage for different reasons and from different perspectives. Those whose interests are at odds with that of archaeology will demand a report, but we should be particularly assiduous in being accountable to those who share our interests and concerns.",Agree,I would add that our activities should not facilitate access to antiquities or their commercialization.,Strongly Agree,,Agree,"Based on my research practice, which draws extensively on archival materials, I would add that we are responsible, in our use of information generated by our colleagues, to accord full and proper recognition of: (1) their organization and labors in generating primary data, and (2) the data integration and interpretive proposals that they have developed, which may be unpublished but available to subsequent researchers.",Neutral,"To be adequate, this statement must be modified. The principle is correct, but different types of archaeological analysis require different time frames. Those who study site distribution and architecture reap the first wave of results from survey or excavation, now further facilitated by improved remote sensing and documentation methods. They publish quickly and may seem highly ethical according to this measure, while the time-consuming processes of analyzing different types of excavated materials are left to ""slower"" meticulous colleagues who publish later, and are therefore less likely to be the PI, tenured, funded etc. Too often, the Director moves on to another high profile project, a situation that generates problems in conserving both the data and physical collections, and continues to be rewarded for rapid publication.",Agree,"As we make responsible use of collections, records and reports we should also generate reports on our analytic processes, to be incorporated into the archives we have used. ",Agree,"Archaeologists should seek continuing education in new methods and research strategies, and provide opportunities for continuing education in methods we may develop or master. As we may become more specialized in our research methods, we are likewise responsible for developing research collaborations with others whose expertise complements our own, and should cross-train with them to the extent necessary for strong working relationships and joint publications.",Agree,Compliance with the law is not sufficient for fostering a supportive and safe environment. A focus on what is required by law may even undermine such an environment.,Neutral,"We must take advantage of all opportunities to update, strengthen and refine these statements. Policies are developed in changing social and political contexts and their wording responds to the problems that predominate or have been recognized. Other problems will emerge, and the wording of a policy may itself become problematic.",Neutral,"The principles are approximately adequate in some points, but not adequate in others.",Disagree,,Yes,"Archaeology as a disciple is reproduced in university training, as well as in fieldwork. The erosion of long-term academic employment (not just tenure, but continuity) deeply affects both undergraduate and graduate education, as well as the ability to direct continuing research. I consider that the SAA needs to develop a position on this issue.

There is no strategic planning to provide training in all aspects of archaeological analysis essential to work with the collections we generate. Instead, jobs and courses emerge in response to market trends in education (eg. bioarchaeologists who can teach premed students, GIS specialists who can teach planners), while important branches of our field lack anyone employed to teach them. The SAA could create a forum to identify these gaps and co-sponsor a graduate seminar in one or another specialty at a participating university, providing at lease temporary employment for a specialist and an opportunity for a cohort of students.",1,5,2,4,3,"An aspirational code,A living document,Ethical document(s) that provides examples","I think that providing examples is useful, but that specific Standards of Practice and ethics documents related to areas of work (geographic, disciplinary etc) should be generated and updated by those involved, rather than centralized in or by the SAA.",Yes,,,,,,,,,,,,,
